position,badge_url,name,games_played,games_won,games_drawn,games_lost,goals_for,goals_against,goal_difference,points
1,https://resources.premierleague.com/premierleague25/badges/43.svg,Manchester City,10,7,2,1,24,9,15,23
2,https://resources.premierleague.com/premierleague25/badges/3.svg,Arsenal,10,7,2,1,23,10,13,23
3,https://resources.premierleague.com/premierleague25/badges/14.svg,Liverpool,10,7,2,1,24,13,11,23
4,https://resources.premierleague.com/premierleague25/badges/8.svg,Chelsea,10,7,1,2,21,9,12,22
5,https://resources.premierleague.com/premierleague25/badges/6.svg,Tottenham Hotspur,10,5,5,0,14,5,9,20
6,https://resources.premierleague.com/premierleague25/badges/11.svg,Everton,10,5,3,2,15,8,7,18
7,https://resources.premierleague.com/premierleague25/badges/57.svg,Watford,10,4,3,3,14,13,1,15
8,https://resources.premierleague.com/premierleague25/badges/1.svg,Manchester United,10,4,3,3,13,12,1,15
9,https://resources.premierleague.com/premierleague25/badges/20.svg,Southampton,10,3,4,3,11,10,1,13
10,https://resources.premierleague.com/premierleague25/badges/91.svg,Bournemouth,10,3,3,4,12,14,-2,12
11,https://resources.premierleague.com/premierleague25/badges/13.svg,Leicester City,10,3,3,4,12,16,-4,12
12,https://resources.premierleague.com/premierleague25/badges/110.svg,Stoke City,10,3,3,4,12,17,-5,12
13,https://resources.premierleague.com/premierleague25/badges/31.svg,Crystal Palace,10,3,2,5,14,16,-2,11
14,https://resources.premierleague.com/premierleague25/badges/90.svg,Burnley,10,3,2,5,8,13,-5,11
15,https://resources.premierleague.com/premierleague25/badges/25.svg,Middlesbrough,10,2,4,4,9,11,-2,10
16,https://resources.premierleague.com/premierleague25/badges/35.svg,West Bromwich Albion,10,2,4,4,10,14,-4,10
17,https://resources.premierleague.com/premierleague25/badges/21.svg,West Ham United,10,3,1,6,10,19,-9,10
18,https://resources.premierleague.com/premierleague25/badges/88.svg,Hull City,10,2,1,7,8,23,-15,7
19,https://resources.premierleague.com/premierleague25/badges/80.svg,Swansea City,10,1,2,7,9,18,-9,5
20,https://resources.premierleague.com/premierleague25/badges/56.svg,Sunderland,10,0,2,8,7,20,-13,2
