position,badge_url,name,games_played,games_won,games_drawn,games_lost,goals_for,goals_against,goal_difference,points
1,https://resources.premierleague.com/premierleague25/badges/8.svg,Chelsea,23,18,2,3,48,16,32,56
2,https://resources.premierleague.com/premierleague25/badges/6.svg,Tottenham Hotspur,23,13,8,2,45,16,29,47
3,https://resources.premierleague.com/premierleague25/badges/3.svg,Arsenal,23,14,5,4,51,25,26,47
4,https://resources.premierleague.com/premierleague25/badges/14.svg,Liverpool,23,13,7,3,52,28,24,46
5,https://resources.premierleague.com/premierleague25/badges/43.svg,Manchester City,23,14,4,5,47,28,19,46
6,https://resources.premierleague.com/premierleague25/badges/1.svg,Manchester United,23,11,9,3,33,21,12,42
7,https://resources.premierleague.com/premierleague25/badges/11.svg,Everton,23,10,7,6,34,24,10,37
8,https://resources.premierleague.com/premierleague25/badges/35.svg,West Bromwich Albion,23,9,6,8,31,29,2,33
9,https://resources.premierleague.com/premierleague25/badges/110.svg,Stoke City,23,7,8,8,29,35,-6,29
10,https://resources.premierleague.com/premierleague25/badges/90.svg,Burnley,23,9,2,12,25,33,-8,29
11,https://resources.premierleague.com/premierleague25/badges/21.svg,West Ham United,23,8,4,11,29,40,-11,28
12,https://resources.premierleague.com/premierleague25/badges/20.svg,Southampton,23,7,6,10,23,28,-5,27
13,https://resources.premierleague.com/premierleague25/badges/57.svg,Watford,23,7,6,10,27,39,-12,27
14,https://resources.premierleague.com/premierleague25/badges/91.svg,Bournemouth,23,7,5,11,32,41,-9,26
15,https://resources.premierleague.com/premierleague25/badges/25.svg,Middlesbrough,23,4,9,10,19,26,-7,21
16,https://resources.premierleague.com/premierleague25/badges/13.svg,Leicester City,23,5,6,12,24,38,-14,21
17,https://resources.premierleague.com/premierleague25/badges/80.svg,Swansea City,23,6,3,14,28,52,-24,21
18,https://resources.premierleague.com/premierleague25/badges/31.svg,Crystal Palace,23,5,4,14,32,41,-9,19
19,https://resources.premierleague.com/premierleague25/badges/88.svg,Hull City,23,4,5,14,20,47,-27,17
20,https://resources.premierleague.com/premierleague25/badges/56.svg,Sunderland,23,4,4,15,20,42,-22,16
