position,badge_url,name,games_played,games_won,games_drawn,games_lost,goals_for,goals_against,goal_difference,points
1,https://resources.premierleague.com/premierleague25/badges/43.svg,Manchester City,6,5,1,0,21,2,19,16
2,https://resources.premierleague.com/premierleague25/badges/1.svg,Manchester United,6,5,1,0,17,2,15,16
3,https://resources.premierleague.com/premierleague25/badges/8.svg,Chelsea,6,4,1,1,12,5,7,13
4,https://resources.premierleague.com/premierleague25/badges/6.svg,Tottenham Hotspur,6,3,2,1,10,5,5,11
5,https://resources.premierleague.com/premierleague25/badges/14.svg,Liverpool,6,3,2,1,12,11,1,11
6,https://resources.premierleague.com/premierleague25/badges/57.svg,Watford,6,3,2,1,9,10,-1,11
7,https://resources.premierleague.com/premierleague25/badges/3.svg,Arsenal,6,3,1,2,9,8,1,10
8,https://resources.premierleague.com/premierleague25/badges/38.svg,Huddersfield Town,6,2,3,1,5,3,2,9
9,https://resources.premierleague.com/premierleague25/badges/90.svg,Burnley,6,2,3,1,6,5,1,9
10,https://resources.premierleague.com/premierleague25/badges/4.svg,Newcastle United,6,3,0,3,6,5,1,9
11,https://resources.premierleague.com/premierleague25/badges/20.svg,Southampton,6,2,2,2,4,5,-1,8
12,https://resources.premierleague.com/premierleague25/badges/35.svg,West Bromwich Albion,6,2,2,2,4,6,-2,8
13,https://resources.premierleague.com/premierleague25/badges/36.svg,Brighton and Hove Albion,6,2,1,3,5,7,-2,7
14,https://resources.premierleague.com/premierleague25/badges/11.svg,Everton,6,2,1,3,4,11,-7,7
15,https://resources.premierleague.com/premierleague25/badges/80.svg,Swansea City,6,1,2,3,3,7,-4,5
16,https://resources.premierleague.com/premierleague25/badges/110.svg,Stoke City,6,1,2,3,5,10,-5,5
17,https://resources.premierleague.com/premierleague25/badges/13.svg,Leicester City,6,1,1,4,9,12,-3,4
18,https://resources.premierleague.com/premierleague25/badges/21.svg,West Ham United,6,1,1,4,6,13,-7,4
19,https://resources.premierleague.com/premierleague25/badges/91.svg,Bournemouth,6,1,0,5,4,11,-7,3
20,https://resources.premierleague.com/premierleague25/badges/31.svg,Crystal Palace,6,0,0,6,0,13,-13,0
