position,badge_url,name,games_played,games_won,games_drawn,games_lost,goals_for,goals_against,goal_difference,points
1,https://resources.premierleague.com/premierleague25/badges/43.svg,Manchester City,37,31,4,2,105,27,78,97
2,https://resources.premierleague.com/premierleague25/badges/1.svg,Manchester United,37,24,6,7,67,28,39,78
3,https://resources.premierleague.com/premierleague25/badges/6.svg,Tottenham Hotspur,37,22,8,7,69,32,37,74
4,https://resources.premierleague.com/premierleague25/badges/14.svg,Liverpool,37,20,12,5,80,38,42,72
5,https://resources.premierleague.com/premierleague25/badges/8.svg,Chelsea,37,21,7,9,62,35,27,70
6,https://resources.premierleague.com/premierleague25/badges/3.svg,Arsenal,37,18,6,13,73,51,22,60
7,https://resources.premierleague.com/premierleague25/badges/90.svg,Burnley,37,14,12,11,35,37,-2,54
8,https://resources.premierleague.com/premierleague25/badges/11.svg,Everton,37,13,10,14,43,55,-12,49
9,https://resources.premierleague.com/premierleague25/badges/13.svg,Leicester City,37,12,11,14,52,55,-3,47
10,https://resources.premierleague.com/premierleague25/badges/4.svg,Newcastle United,37,11,8,18,36,47,-11,41
11,https://resources.premierleague.com/premierleague25/badges/31.svg,Crystal Palace,37,10,11,16,43,55,-12,41
12,https://resources.premierleague.com/premierleague25/badges/91.svg,Bournemouth,37,10,11,16,43,60,-17,41
13,https://resources.premierleague.com/premierleague25/badges/57.svg,Watford,37,11,8,18,44,63,-19,41
14,https://resources.premierleague.com/premierleague25/badges/36.svg,Brighton and Hove Albion,37,9,13,15,34,50,-16,40
15,https://resources.premierleague.com/premierleague25/badges/21.svg,West Ham United,37,9,12,16,45,67,-22,39
16,https://resources.premierleague.com/premierleague25/badges/38.svg,Huddersfield Town,37,9,10,18,28,57,-29,37
17,https://resources.premierleague.com/premierleague25/badges/20.svg,Southampton,37,7,15,15,37,55,-18,36
18,https://resources.premierleague.com/premierleague25/badges/80.svg,Swansea City,37,8,9,20,27,54,-27,33
19,https://resources.premierleague.com/premierleague25/badges/35.svg,West Bromwich Albion,37,6,13,18,31,54,-23,31
20,https://resources.premierleague.com/premierleague25/badges/110.svg,Stoke City,37,6,12,19,33,67,-34,30
