position,badge_url,name,games_played,games_won,games_drawn,games_lost,goals_for,goals_against,goal_difference,points
1,https://resources.premierleague.com/premierleague25/badges/7.svg,Aston Villa,5,5,0,0,20,4,16,15
2,https://resources.premierleague.com/premierleague25/badges/14.svg,Liverpool,5,5,0,0,14,2,12,15
3,https://resources.premierleague.com/premierleague25/badges/3.svg,Arsenal,6,4,2,0,15,6,9,14
4,https://resources.premierleague.com/premierleague25/badges/4.svg,Newcastle United,5,4,0,1,13,3,10,12
5,https://resources.premierleague.com/premierleague25/badges/43.svg,Manchester City,4,4,0,0,10,2,8,12
6,https://resources.premierleague.com/premierleague25/badges/6.svg,Tottenham Hotspur,4,4,0,0,8,2,6,12
7,https://resources.premierleague.com/premierleague25/badges/36.svg,Brighton and Hove Albion,6,3,2,1,14,9,5,11
8,https://resources.premierleague.com/premierleague25/badges/1.svg,Manchester United,6,3,0,3,7,10,-3,9
9,https://resources.premierleague.com/premierleague25/badges/21.svg,West Ham United,5,2,1,2,8,7,1,7
10,https://resources.premierleague.com/premierleague25/badges/94.svg,Brentford,5,1,3,1,9,8,1,6
11,https://resources.premierleague.com/premierleague25/badges/17.svg,Nottingham Forest,4,1,3,0,6,5,1,6
12,https://resources.premierleague.com/premierleague25/badges/54.svg,Fulham,4,2,0,2,4,6,-2,6
13,https://resources.premierleague.com/premierleague25/badges/8.svg,Chelsea,6,1,2,3,6,7,-1,5
14,https://resources.premierleague.com/premierleague25/badges/31.svg,Crystal Palace,5,1,2,2,4,5,-1,5
15,https://resources.premierleague.com/premierleague25/badges/39.svg,Wolverhampton Wanderers,5,1,2,2,7,11,-4,5
16,https://resources.premierleague.com/premierleague25/badges/91.svg,Bournemouth,6,1,2,3,4,10,-6,5
17,https://resources.premierleague.com/premierleague25/badges/11.svg,Everton,5,1,0,4,4,5,-1,3
18,https://resources.premierleague.com/premierleague25/badges/102.svg,Luton Town,4,0,1,3,3,6,-3,1
19,https://resources.premierleague.com/premierleague25/badges/49.svg,Sheffield United,5,0,1,4,4,15,-11,1
20,https://resources.premierleague.com/premierleague25/badges/90.svg,Burnley,5,0,0,5,4,16,-12,0
