position,badge_url,name,games_played,games_won,games_drawn,games_lost,goals_for,goals_against,goal_difference,points
1,https://resources.premierleague.com/premierleague25/badges/43.svg,Manchester City,8,7,0,1,30,9,21,21
2,https://resources.premierleague.com/premierleague25/badges/3.svg,Arsenal,6,6,0,0,19,7,12,18
3,https://resources.premierleague.com/premierleague25/badges/4.svg,Newcastle United,8,5,3,0,17,5,12,18
4,https://resources.premierleague.com/premierleague25/badges/6.svg,Tottenham Hotspur,8,6,0,2,21,11,10,18
5,https://resources.premierleague.com/premierleague25/badges/14.svg,Liverpool,8,5,2,1,21,8,13,17
6,https://resources.premierleague.com/premierleague25/badges/7.svg,Aston Villa,7,4,1,2,11,6,5,13
7,https://resources.premierleague.com/premierleague25/badges/1.svg,Manchester United,6,4,1,1,9,4,5,13
8,https://resources.premierleague.com/premierleague25/badges/31.svg,Crystal Palace,7,4,1,2,10,8,2,13
9,https://resources.premierleague.com/premierleague25/badges/94.svg,Brentford,7,3,3,1,13,7,6,12
10,https://resources.premierleague.com/premierleague25/badges/54.svg,Fulham,8,3,3,2,14,13,1,12
11,https://resources.premierleague.com/premierleague25/badges/36.svg,Brighton and Hove Albion,7,3,2,2,11,6,5,11
12,https://resources.premierleague.com/premierleague25/badges/8.svg,Chelsea,6,3,2,1,10,6,4,11
13,https://resources.premierleague.com/premierleague25/badges/2.svg,Leeds United,7,3,2,2,12,9,3,11
14,https://resources.premierleague.com/premierleague25/badges/91.svg,Bournemouth,8,3,2,3,9,8,1,11
15,https://resources.premierleague.com/premierleague25/badges/17.svg,Nottingham Forest,8,3,2,3,10,11,-1,11
16,https://resources.premierleague.com/premierleague25/badges/21.svg,West Ham United,8,3,1,4,9,10,-1,10
17,https://resources.premierleague.com/premierleague25/badges/13.svg,Leicester City,7,2,2,3,9,6,3,8
18,https://resources.premierleague.com/premierleague25/badges/11.svg,Everton,7,2,2,3,6,6,0,8
19,https://resources.premierleague.com/premierleague25/badges/39.svg,Wolverhampton Wanderers,8,2,2,4,5,13,-8,8
20,https://resources.premierleague.com/premierleague25/badges/20.svg,Southampton,7,1,3,3,8,12,-4,6
