position,badge_url,name,games_played,games_won,games_drawn,games_lost,goals_for,goals_against,goal_difference,points
1,https://resources.premierleague.com/premierleague25/badges/43.svg,Manchester City,11,9,1,1,38,12,26,28
2,https://resources.premierleague.com/premierleague25/badges/1.svg,Manchester United,11,8,2,1,21,8,13,26
3,https://resources.premierleague.com/premierleague25/badges/3.svg,Arsenal,9,8,1,0,25,10,15,25
4,https://resources.premierleague.com/premierleague25/badges/4.svg,Newcastle United,11,6,5,0,19,6,13,23
5,https://resources.premierleague.com/premierleague25/badges/94.svg,Brentford,11,6,4,1,23,10,13,22
6,https://resources.premierleague.com/premierleague25/badges/14.svg,Liverpool,10,6,3,1,23,9,14,21
7,https://resources.premierleague.com/premierleague25/badges/6.svg,Tottenham Hotspur,11,7,0,4,22,15,7,21
8,https://resources.premierleague.com/premierleague25/badges/8.svg,Chelsea,10,5,3,2,13,7,6,18
9,https://resources.premierleague.com/premierleague25/badges/54.svg,Fulham,11,5,3,3,18,16,2,18
10,https://resources.premierleague.com/premierleague25/badges/17.svg,Nottingham Forest,11,5,3,3,14,12,2,18
11,https://resources.premierleague.com/premierleague25/badges/36.svg,Brighton and Hove Albion,10,5,2,3,17,10,7,17
12,https://resources.premierleague.com/premierleague25/badges/7.svg,Aston Villa,11,5,2,4,17,15,2,17
13,https://resources.premierleague.com/premierleague25/badges/31.svg,Crystal Palace,11,4,3,4,11,16,-5,15
14,https://resources.premierleague.com/premierleague25/badges/39.svg,Wolverhampton Wanderers,11,4,2,5,9,14,-5,14
15,https://resources.premierleague.com/premierleague25/badges/2.svg,Leeds United,10,3,4,3,15,14,1,13
16,https://resources.premierleague.com/premierleague25/badges/21.svg,West Ham United,10,4,1,5,11,12,-1,13
17,https://resources.premierleague.com/premierleague25/badges/91.svg,Bournemouth,10,3,3,4,10,11,-1,12
18,https://resources.premierleague.com/premierleague25/badges/11.svg,Everton,11,3,2,6,10,14,-4,11
19,https://resources.premierleague.com/premierleague25/badges/13.svg,Leicester City,10,2,3,5,11,12,-1,9
20,https://resources.premierleague.com/premierleague25/badges/20.svg,Southampton,10,1,3,6,9,17,-8,6
