position,badge_url,name,games_played,games_won,games_drawn,games_lost,goals_for,goals_against,goal_difference,points
1,https://resources.premierleague.com/premierleague25/badges/3.svg,Arsenal,15,12,2,1,42,18,24,38
2,https://resources.premierleague.com/premierleague25/badges/43.svg,Manchester City,14,12,1,1,47,14,33,37
3,https://resources.premierleague.com/premierleague25/badges/1.svg,Manchester United,14,10,3,1,25,8,17,33
4,https://resources.premierleague.com/premierleague25/badges/14.svg,Liverpool,13,9,3,1,34,9,25,30
5,https://resources.premierleague.com/premierleague25/badges/6.svg,Tottenham Hotspur,14,10,0,4,29,16,13,30
6,https://resources.premierleague.com/premierleague25/badges/4.svg,Newcastle United,14,8,5,1,23,9,14,29
7,https://resources.premierleague.com/premierleague25/badges/94.svg,Brentford,14,7,6,1,28,14,14,27
8,https://resources.premierleague.com/premierleague25/badges/36.svg,Brighton and Hove Albion,14,7,3,4,25,14,11,24
9,https://resources.premierleague.com/premierleague25/badges/7.svg,Aston Villa,14,7,2,5,23,19,4,23
10,https://resources.premierleague.com/premierleague25/badges/8.svg,Chelsea,15,6,5,4,16,12,4,23
11,https://resources.premierleague.com/premierleague25/badges/54.svg,Fulham,14,6,4,4,21,20,1,22
12,https://resources.premierleague.com/premierleague25/badges/17.svg,Nottingham Forest,15,5,6,4,19,18,1,21
13,https://resources.premierleague.com/premierleague25/badges/21.svg,West Ham United,15,6,3,6,19,19,0,21
14,https://resources.premierleague.com/premierleague25/badges/2.svg,Leeds United,14,5,5,4,20,19,1,20
15,https://resources.premierleague.com/premierleague25/badges/31.svg,Crystal Palace,15,5,5,5,14,19,-5,20
16,https://resources.premierleague.com/premierleague25/badges/91.svg,Bournemouth,15,5,4,6,15,19,-4,19
17,https://resources.premierleague.com/premierleague25/badges/11.svg,Everton,15,5,3,7,13,17,-4,18
18,https://resources.premierleague.com/premierleague25/badges/39.svg,Wolverhampton Wanderers,14,5,2,7,12,19,-7,17
19,https://resources.premierleague.com/premierleague25/badges/13.svg,Leicester City,14,3,3,8,17,19,-2,12
20,https://resources.premierleague.com/premierleague25/badges/20.svg,Southampton,14,2,4,8,14,24,-10,10
