position,badge_url,name,games_played,games_won,games_drawn,games_lost,goals_for,goals_against,goal_difference,points
1,https://resources.premierleague.com/premierleague25/badges/14.svg,Liverpool,15,12,2,1,26,9,17,38
2,https://resources.premierleague.com/premierleague25/badges/43.svg,Manchester City,15,9,1,5,35,19,16,28
3,https://resources.premierleague.com/premierleague25/badges/8.svg,Chelsea,15,8,3,4,31,25,6,27
4,https://resources.premierleague.com/premierleague25/badges/13.svg,Leicester City,15,7,3,5,29,14,15,24
5,https://resources.premierleague.com/premierleague25/badges/39.svg,Wolverhampton Wanderers,15,6,6,3,22,17,5,24
6,https://resources.premierleague.com/premierleague25/badges/20.svg,Southampton,15,7,2,6,22,21,1,23
7,https://resources.premierleague.com/premierleague25/badges/49.svg,Sheffield United,15,4,8,3,13,15,-2,20
8,https://resources.premierleague.com/premierleague25/badges/31.svg,Crystal Palace,15,5,5,5,16,19,-3,20
9,https://resources.premierleague.com/premierleague25/badges/1.svg,Manchester United,15,4,5,6,16,19,-3,17
10,https://resources.premierleague.com/premierleague25/badges/90.svg,Burnley,15,4,4,7,14,26,-12,16
11,https://resources.premierleague.com/premierleague25/badges/6.svg,Tottenham Hotspur,15,3,6,6,20,25,-5,15
12,https://resources.premierleague.com/premierleague25/badges/3.svg,Arsenal,15,2,8,5,15,21,-6,14
13,https://resources.premierleague.com/premierleague25/badges/4.svg,Newcastle United,15,4,2,9,13,29,-16,14
14,https://resources.premierleague.com/premierleague25/badges/21.svg,West Ham United,15,3,3,9,12,24,-12,12
15,https://resources.premierleague.com/premierleague25/badges/11.svg,Everton,15,3,3,9,18,31,-13,12
16,https://resources.premierleague.com/premierleague25/badges/36.svg,Brighton and Hove Albion,15,2,5,8,15,25,-10,11
17,https://resources.premierleague.com/premierleague25/badges/91.svg,Bournemouth,15,3,1,11,12,26,-14,10
18,https://resources.premierleague.com/premierleague25/badges/57.svg,Watford,15,2,4,9,11,27,-16,10
19,https://resources.premierleague.com/premierleague25/badges/7.svg,Aston Villa,15,2,2,11,16,32,-16,8
20,https://resources.premierleague.com/premierleague25/badges/45.svg,Norwich City,15,1,3,11,6,26,-20,6
