position,badge_url,name,games_played,games_won,games_drawn,games_lost,goals_for,goals_against,goal_difference,points
1,https://resources.premierleague.com/premierleague25/badges/43.svg,Manchester City,12,11,1,0,42,9,33,34
2,https://resources.premierleague.com/premierleague25/badges/1.svg,Manchester United,12,9,2,1,27,5,22,29
3,https://resources.premierleague.com/premierleague25/badges/3.svg,Arsenal,12,9,2,1,31,13,18,29
4,https://resources.premierleague.com/premierleague25/badges/14.svg,Liverpool,12,7,5,0,25,7,18,26
5,https://resources.premierleague.com/premierleague25/badges/8.svg,Chelsea,12,8,2,2,21,7,14,26
6,https://resources.premierleague.com/premierleague25/badges/6.svg,Tottenham Hotspur,12,7,4,1,26,9,17,25
7,https://resources.premierleague.com/premierleague25/badges/13.svg,Leicester City,12,6,2,4,18,14,4,20
8,https://resources.premierleague.com/premierleague25/badges/11.svg,Everton,12,6,2,4,18,16,2,20
9,https://resources.premierleague.com/premierleague25/badges/90.svg,Burnley,12,5,2,5,8,9,-1,17
10,https://resources.premierleague.com/premierleague25/badges/110.svg,Stoke City,12,5,2,5,15,20,-5,17
11,https://resources.premierleague.com/premierleague25/badges/31.svg,Crystal Palace,12,4,4,4,15,18,-3,16
12,https://resources.premierleague.com/premierleague25/badges/38.svg,Huddersfield Town,12,4,4,4,11,16,-5,16
13,https://resources.premierleague.com/premierleague25/badges/91.svg,Bournemouth,12,4,3,5,16,18,-2,15
14,https://resources.premierleague.com/premierleague25/badges/21.svg,West Ham United,11,4,3,4,13,16,-3,15
15,https://resources.premierleague.com/premierleague25/badges/36.svg,Brighton and Hove Albion,12,3,6,3,12,18,-6,15
16,https://resources.premierleague.com/premierleague25/badges/20.svg,Southampton,13,3,5,5,15,18,-3,14
17,https://resources.premierleague.com/premierleague25/badges/35.svg,West Bromwich Albion,12,2,7,3,12,15,-3,13
18,https://resources.premierleague.com/premierleague25/badges/57.svg,Watford,12,3,4,5,16,25,-9,13
19,https://resources.premierleague.com/premierleague25/badges/4.svg,Newcastle United,12,3,3,6,10,14,-4,12
20,https://resources.premierleague.com/premierleague25/badges/80.svg,Swansea City,12,3,2,7,7,17,-10,11
