position,badge_url,name,games_played,games_won,games_drawn,games_lost,goals_for,goals_against,goal_difference,points
1,https://resources.premierleague.com/premierleague25/badges/14.svg,Liverpool,17,16,1,0,42,14,28,49
2,https://resources.premierleague.com/premierleague25/badges/13.svg,Leicester City,17,12,3,2,40,11,29,39
3,https://resources.premierleague.com/premierleague25/badges/43.svg,Manchester City,17,11,2,4,47,19,28,35
4,https://resources.premierleague.com/premierleague25/badges/8.svg,Chelsea,17,9,2,6,31,25,6,29
5,https://resources.premierleague.com/premierleague25/badges/6.svg,Tottenham Hotspur,17,7,5,5,32,24,8,26
6,https://resources.premierleague.com/premierleague25/badges/1.svg,Manchester United,17,6,7,4,26,20,6,25
7,https://resources.premierleague.com/premierleague25/badges/49.svg,Sheffield United,17,6,7,4,21,16,5,25
8,https://resources.premierleague.com/premierleague25/badges/39.svg,Wolverhampton Wanderers,17,5,9,3,24,21,3,24
9,https://resources.premierleague.com/premierleague25/badges/31.svg,Crystal Palace,17,6,5,6,15,19,-4,23
10,https://resources.premierleague.com/premierleague25/badges/3.svg,Arsenal,17,5,7,5,24,27,-3,22
11,https://resources.premierleague.com/premierleague25/badges/4.svg,Newcastle United,17,6,4,7,17,24,-7,22
12,https://resources.premierleague.com/premierleague25/badges/90.svg,Burnley,17,6,3,8,22,29,-7,21
13,https://resources.premierleague.com/premierleague25/badges/36.svg,Brighton and Hove Albion,17,5,5,7,21,25,-4,20
14,https://resources.premierleague.com/premierleague25/badges/91.svg,Bournemouth,17,5,4,8,19,24,-5,19
15,https://resources.premierleague.com/premierleague25/badges/21.svg,West Ham United,17,5,4,8,19,28,-9,19
16,https://resources.premierleague.com/premierleague25/badges/11.svg,Everton,17,5,3,9,20,29,-9,18
17,https://resources.premierleague.com/premierleague25/badges/7.svg,Aston Villa,17,4,3,10,23,30,-7,15
18,https://resources.premierleague.com/premierleague25/badges/20.svg,Southampton,17,4,3,10,18,36,-18,15
19,https://resources.premierleague.com/premierleague25/badges/45.svg,Norwich City,17,3,3,11,18,35,-17,12
20,https://resources.premierleague.com/premierleague25/badges/57.svg,Watford,17,1,6,10,9,32,-23,9
