position,badge_url,name,games_played,games_won,games_drawn,games_lost,goals_for,goals_against,goal_difference,points
1,https://resources.premierleague.com/premierleague25/badges/14.svg,Liverpool,34,30,2,2,75,26,49,92
2,https://resources.premierleague.com/premierleague25/badges/43.svg,Manchester City,34,22,3,9,86,34,52,69
3,https://resources.premierleague.com/premierleague25/badges/8.svg,Chelsea,34,18,6,10,63,46,17,60
4,https://resources.premierleague.com/premierleague25/badges/13.svg,Leicester City,34,17,8,9,64,32,32,59
5,https://resources.premierleague.com/premierleague25/badges/1.svg,Manchester United,34,16,10,8,59,33,26,58
6,https://resources.premierleague.com/premierleague25/badges/39.svg,Wolverhampton Wanderers,34,13,13,8,45,37,8,52
7,https://resources.premierleague.com/premierleague25/badges/49.svg,Sheffield United,34,13,12,9,35,33,2,51
8,https://resources.premierleague.com/premierleague25/badges/3.svg,Arsenal,34,12,14,8,50,42,8,50
9,https://resources.premierleague.com/premierleague25/badges/6.svg,Tottenham Hotspur,34,13,10,11,52,44,8,49
10,https://resources.premierleague.com/premierleague25/badges/90.svg,Burnley,34,14,7,13,38,46,-8,49
11,https://resources.premierleague.com/premierleague25/badges/11.svg,Everton,34,12,9,13,41,49,-8,45
12,https://resources.premierleague.com/premierleague25/badges/20.svg,Southampton,34,13,5,16,43,56,-13,44
13,https://resources.premierleague.com/premierleague25/badges/4.svg,Newcastle United,34,11,10,13,35,50,-15,43
14,https://resources.premierleague.com/premierleague25/badges/31.svg,Crystal Palace,34,11,9,14,30,43,-13,42
15,https://resources.premierleague.com/premierleague25/badges/36.svg,Brighton and Hove Albion,34,8,12,14,36,47,-11,36
16,https://resources.premierleague.com/premierleague25/badges/21.svg,West Ham United,34,8,7,19,40,59,-19,31
17,https://resources.premierleague.com/premierleague25/badges/57.svg,Watford,34,7,10,17,31,53,-22,31
18,https://resources.premierleague.com/premierleague25/badges/91.svg,Bournemouth,34,7,7,20,32,59,-27,28
19,https://resources.premierleague.com/premierleague25/badges/7.svg,Aston Villa,34,7,6,21,36,65,-29,27
20,https://resources.premierleague.com/premierleague25/badges/45.svg,Norwich City,34,5,6,23,26,63,-37,21
