position,badge_url,name,games_played,games_won,games_drawn,games_lost,goals_for,goals_against,goal_difference,points
1,https://resources.premierleague.com/premierleague25/badges/14.svg,Liverpool,18,17,1,0,46,14,32,52
2,https://resources.premierleague.com/premierleague25/badges/13.svg,Leicester City,19,12,3,4,41,18,23,39
3,https://resources.premierleague.com/premierleague25/badges/43.svg,Manchester City,19,12,2,5,52,23,29,38
4,https://resources.premierleague.com/premierleague25/badges/8.svg,Chelsea,19,10,2,7,33,27,6,32
5,https://resources.premierleague.com/premierleague25/badges/39.svg,Wolverhampton Wanderers,19,7,9,3,29,24,5,30
6,https://resources.premierleague.com/premierleague25/badges/6.svg,Tottenham Hotspur,19,8,5,6,34,27,7,29
7,https://resources.premierleague.com/premierleague25/badges/49.svg,Sheffield United,19,7,8,4,23,17,6,29
8,https://resources.premierleague.com/premierleague25/badges/1.svg,Manchester United,19,7,7,5,30,23,7,28
9,https://resources.premierleague.com/premierleague25/badges/31.svg,Crystal Palace,19,7,5,7,17,21,-4,26
10,https://resources.premierleague.com/premierleague25/badges/4.svg,Newcastle United,19,7,4,8,19,28,-9,25
11,https://resources.premierleague.com/premierleague25/badges/3.svg,Arsenal,19,5,9,5,25,28,-3,24
12,https://resources.premierleague.com/premierleague25/badges/90.svg,Burnley,19,7,3,9,23,30,-7,24
13,https://resources.premierleague.com/premierleague25/badges/11.svg,Everton,19,6,4,9,21,29,-8,22
14,https://resources.premierleague.com/premierleague25/badges/20.svg,Southampton,19,6,3,10,23,37,-14,21
15,https://resources.premierleague.com/premierleague25/badges/36.svg,Brighton and Hove Albion,19,5,5,9,22,28,-6,20
16,https://resources.premierleague.com/premierleague25/badges/91.svg,Bournemouth,19,5,5,9,20,26,-6,20
17,https://resources.premierleague.com/premierleague25/badges/21.svg,West Ham United,18,5,4,9,20,30,-10,19
18,https://resources.premierleague.com/premierleague25/badges/7.svg,Aston Villa,19,5,3,11,25,33,-8,18
19,https://resources.premierleague.com/premierleague25/badges/57.svg,Watford,19,2,7,10,12,33,-21,13
20,https://resources.premierleague.com/premierleague25/badges/45.svg,Norwich City,19,3,3,13,19,38,-19,12
