position,badge_url,name,games_played,games_won,games_drawn,games_lost,goals_for,goals_against,goal_difference,points
1,https://resources.premierleague.com/premierleague25/badges/14.svg,Liverpool,37,31,3,3,82,32,50,96
2,https://resources.premierleague.com/premierleague25/badges/43.svg,Manchester City,37,25,3,9,97,35,62,78
3,https://resources.premierleague.com/premierleague25/badges/1.svg,Manchester United,37,17,12,8,64,36,28,63
4,https://resources.premierleague.com/premierleague25/badges/8.svg,Chelsea,37,19,6,12,67,54,13,63
5,https://resources.premierleague.com/premierleague25/badges/13.svg,Leicester City,37,18,8,11,67,39,28,62
6,https://resources.premierleague.com/premierleague25/badges/39.svg,Wolverhampton Wanderers,37,15,14,8,51,38,13,59
7,https://resources.premierleague.com/premierleague25/badges/6.svg,Tottenham Hotspur,37,16,10,11,60,46,14,58
8,https://resources.premierleague.com/premierleague25/badges/49.svg,Sheffield United,37,14,12,11,38,36,2,54
9,https://resources.premierleague.com/premierleague25/badges/90.svg,Burnley,37,15,9,13,42,48,-6,54
10,https://resources.premierleague.com/premierleague25/badges/3.svg,Arsenal,37,13,14,10,53,46,7,53
11,https://resources.premierleague.com/premierleague25/badges/11.svg,Everton,37,13,10,14,43,53,-10,49
12,https://resources.premierleague.com/premierleague25/badges/20.svg,Southampton,37,14,7,16,48,59,-11,49
13,https://resources.premierleague.com/premierleague25/badges/4.svg,Newcastle United,37,11,11,15,37,55,-18,44
14,https://resources.premierleague.com/premierleague25/badges/31.svg,Crystal Palace,37,11,9,17,30,49,-19,42
15,https://resources.premierleague.com/premierleague25/badges/21.svg,West Ham United,37,10,8,19,48,61,-13,38
16,https://resources.premierleague.com/premierleague25/badges/36.svg,Brighton and Hove Albion,37,8,14,15,37,53,-16,38
17,https://resources.premierleague.com/premierleague25/badges/7.svg,Aston Villa,37,9,7,21,40,66,-26,34
18,https://resources.premierleague.com/premierleague25/badges/57.svg,Watford,37,8,10,19,34,61,-27,34
19,https://resources.premierleague.com/premierleague25/badges/91.svg,Bournemouth,37,8,7,22,37,64,-27,31
20,https://resources.premierleague.com/premierleague25/badges/45.svg,Norwich City,37,5,6,26,26,70,-44,21
