position,badge_url,name,games_played,games_won,games_drawn,games_lost,goals_for,goals_against,goal_difference,points
1,https://resources.premierleague.com/premierleague25/badges/43.svg,Manchester City,17,14,2,1,40,12,28,44
2,https://resources.premierleague.com/premierleague25/badges/6.svg,Tottenham Hotspur,17,10,3,4,33,18,15,33
3,https://resources.premierleague.com/premierleague25/badges/14.svg,Liverpool,17,9,4,4,37,25,12,31
4,https://resources.premierleague.com/premierleague25/badges/1.svg,Manchester United,16,9,3,4,28,18,10,30
5,https://resources.premierleague.com/premierleague25/badges/8.svg,Chelsea,16,8,3,5,29,18,11,27
6,https://resources.premierleague.com/premierleague25/badges/90.svg,Burnley,17,7,6,4,19,16,3,27
7,https://resources.premierleague.com/premierleague25/badges/13.svg,Leicester City,17,5,5,7,27,28,-1,20
8,https://resources.premierleague.com/premierleague25/badges/4.svg,Newcastle United,16,4,4,8,17,26,-9,16
9,https://resources.premierleague.com/premierleague25/badges/91.svg,Bournemouth,17,3,6,8,16,28,-12,15
10,https://resources.premierleague.com/premierleague25/badges/57.svg,Watford,17,4,2,11,17,30,-13,14
11,https://resources.premierleague.com/premierleague25/badges/31.svg,Crystal Palace,17,3,5,9,14,27,-13,14
12,https://resources.premierleague.com/premierleague25/badges/3.svg,Arsenal,16,3,4,9,17,26,-9,13
13,https://resources.premierleague.com/premierleague25/badges/20.svg,Southampton,16,2,6,8,15,29,-14,12
14,https://resources.premierleague.com/premierleague25/badges/80.svg,Swansea City,17,2,6,9,11,26,-15,12
15,https://resources.premierleague.com/premierleague25/badges/21.svg,West Ham United,17,2,6,9,21,38,-17,12
16,https://resources.premierleague.com/premierleague25/badges/11.svg,Everton,17,2,6,9,13,33,-20,12
17,https://resources.premierleague.com/premierleague25/badges/38.svg,Huddersfield Town,17,3,3,11,11,32,-21,12
18,https://resources.premierleague.com/premierleague25/badges/36.svg,Brighton and Hove Albion,16,2,4,10,9,22,-13,10
19,https://resources.premierleague.com/premierleague25/badges/35.svg,West Bromwich Albion,17,2,4,11,9,25,-16,10
20,https://resources.premierleague.com/premierleague25/badges/110.svg,Stoke City,17,1,6,10,13,37,-24,9
