position,badge_url,name,games_played,games_won,games_drawn,games_lost,goals_for,goals_against,goal_difference,points
1,https://resources.premierleague.com/premierleague25/badges/43.svg,Manchester City,12,11,0,1,40,10,30,33
2,https://resources.premierleague.com/premierleague25/badges/14.svg,Liverpool,11,10,1,0,31,6,25,31
3,https://resources.premierleague.com/premierleague25/badges/3.svg,Arsenal,12,9,2,1,26,10,16,29
4,https://resources.premierleague.com/premierleague25/badges/8.svg,Chelsea,12,7,4,1,21,9,12,25
5,https://resources.premierleague.com/premierleague25/badges/1.svg,Manchester United,11,7,3,1,23,14,9,24
6,https://resources.premierleague.com/premierleague25/badges/91.svg,Bournemouth,12,6,3,3,21,17,4,21
7,https://resources.premierleague.com/premierleague25/badges/11.svg,Everton,12,6,3,3,20,16,4,21
8,https://resources.premierleague.com/premierleague25/badges/6.svg,Tottenham Hotspur,10,6,0,4,18,10,8,18
9,https://resources.premierleague.com/premierleague25/badges/36.svg,Brighton and Hove Albion,11,5,3,3,15,12,3,18
10,https://resources.premierleague.com/premierleague25/badges/21.svg,West Ham United,12,5,2,5,17,18,-1,17
11,https://resources.premierleague.com/premierleague25/badges/57.svg,Watford,12,5,2,5,16,18,-2,17
12,https://resources.premierleague.com/premierleague25/badges/39.svg,Wolverhampton Wanderers,12,5,2,5,16,18,-2,17
13,https://resources.premierleague.com/premierleague25/badges/13.svg,Leicester City,11,4,2,5,13,12,1,14
14,https://resources.premierleague.com/premierleague25/badges/97.svg,Cardiff City,12,4,2,6,13,23,-10,14
15,https://resources.premierleague.com/premierleague25/badges/90.svg,Burnley,11,4,1,6,14,21,-7,13
16,https://resources.premierleague.com/premierleague25/badges/54.svg,Fulham,11,3,3,5,13,21,-8,12
17,https://resources.premierleague.com/premierleague25/badges/20.svg,Southampton,11,2,5,4,13,18,-5,11
18,https://resources.premierleague.com/premierleague25/badges/4.svg,Newcastle United,12,3,1,8,10,17,-7,10
19,https://resources.premierleague.com/premierleague25/badges/31.svg,Crystal Palace,11,2,3,6,6,11,-5,9
20,https://resources.premierleague.com/premierleague25/badges/38.svg,Huddersfield Town,12,1,2,9,5,19,-14,5
