position,badge_url,name,games_played,games_won,games_drawn,games_lost,goals_for,goals_against,goal_difference,points
1,https://resources.premierleague.com/premierleague25/badges/43.svg,Manchester City,10,9,0,1,35,9,26,27
2,https://resources.premierleague.com/premierleague25/badges/3.svg,Arsenal,10,7,2,1,20,9,11,23
3,https://resources.premierleague.com/premierleague25/badges/14.svg,Liverpool,8,7,1,0,18,2,16,22
4,https://resources.premierleague.com/premierleague25/badges/8.svg,Chelsea,10,6,3,1,19,8,11,21
5,https://resources.premierleague.com/premierleague25/badges/11.svg,Everton,10,5,3,2,18,15,3,18
6,https://resources.premierleague.com/premierleague25/badges/91.svg,Bournemouth,10,5,2,3,16,14,2,17
7,https://resources.premierleague.com/premierleague25/badges/6.svg,Tottenham Hotspur,7,5,0,2,12,6,6,15
8,https://resources.premierleague.com/premierleague25/badges/1.svg,Manchester United,8,4,3,1,14,11,3,15
9,https://resources.premierleague.com/premierleague25/badges/57.svg,Watford,9,5,0,4,14,15,-1,15
10,https://resources.premierleague.com/premierleague25/badges/36.svg,Brighton and Hove Albion,8,4,2,2,13,10,3,14
11,https://resources.premierleague.com/premierleague25/badges/39.svg,Wolverhampton Wanderers,10,4,2,4,12,13,-1,14
12,https://resources.premierleague.com/premierleague25/badges/21.svg,West Ham United,10,4,1,5,14,16,-2,13
13,https://resources.premierleague.com/premierleague25/badges/97.svg,Cardiff City,10,4,1,5,13,20,-7,13
14,https://resources.premierleague.com/premierleague25/badges/13.svg,Leicester City,8,3,2,3,10,8,2,11
15,https://resources.premierleague.com/premierleague25/badges/20.svg,Southampton,8,1,5,2,9,12,-3,8
16,https://resources.premierleague.com/premierleague25/badges/31.svg,Crystal Palace,8,2,2,4,5,8,-3,8
17,https://resources.premierleague.com/premierleague25/badges/54.svg,Fulham,8,2,2,4,10,18,-8,8
18,https://resources.premierleague.com/premierleague25/badges/90.svg,Burnley,8,2,1,5,9,15,-6,7
19,https://resources.premierleague.com/premierleague25/badges/4.svg,Newcastle United,10,2,1,7,7,15,-8,7
20,https://resources.premierleague.com/premierleague25/badges/38.svg,Huddersfield Town,10,1,2,7,4,14,-10,5
