position,badge_url,name,games_played,games_won,games_drawn,games_lost,goals_for,goals_against,goal_difference,points
1,https://resources.premierleague.com/premierleague25/badges/3.svg,Arsenal,16,14,1,1,40,14,26,43
2,https://resources.premierleague.com/premierleague25/badges/43.svg,Manchester City,16,11,3,2,44,16,28,36
3,https://resources.premierleague.com/premierleague25/badges/4.svg,Newcastle United,17,9,7,1,32,11,21,34
4,https://resources.premierleague.com/premierleague25/badges/1.svg,Manchester United,16,10,2,4,24,20,4,32
5,https://resources.premierleague.com/premierleague25/badges/6.svg,Tottenham Hotspur,17,9,3,5,33,25,8,30
6,https://resources.premierleague.com/premierleague25/badges/14.svg,Liverpool,16,8,4,4,33,19,14,28
7,https://resources.premierleague.com/premierleague25/badges/54.svg,Fulham,17,7,4,6,29,27,2,25
8,https://resources.premierleague.com/premierleague25/badges/8.svg,Chelsea,16,7,4,5,20,18,2,25
9,https://resources.premierleague.com/premierleague25/badges/36.svg,Brighton and Hove Albion,16,7,3,6,28,24,4,24
10,https://resources.premierleague.com/premierleague25/badges/94.svg,Brentford,17,5,8,4,27,27,0,23
11,https://resources.premierleague.com/premierleague25/badges/31.svg,Crystal Palace,16,6,4,6,17,21,-4,22
12,https://resources.premierleague.com/premierleague25/badges/7.svg,Aston Villa,17,6,3,8,19,25,-6,21
13,https://resources.premierleague.com/premierleague25/badges/13.svg,Leicester City,17,5,2,10,26,30,-4,17
14,https://resources.premierleague.com/premierleague25/badges/2.svg,Leeds United,16,4,4,8,23,29,-6,16
15,https://resources.premierleague.com/premierleague25/badges/91.svg,Bournemouth,17,4,4,9,18,36,-18,16
16,https://resources.premierleague.com/premierleague25/badges/11.svg,Everton,17,3,6,8,13,20,-7,15
17,https://resources.premierleague.com/premierleague25/badges/21.svg,West Ham United,17,4,2,11,13,22,-9,14
18,https://resources.premierleague.com/premierleague25/badges/17.svg,Nottingham Forest,17,3,5,9,12,34,-22,14
19,https://resources.premierleague.com/premierleague25/badges/39.svg,Wolverhampton Wanderers,17,3,4,10,10,26,-16,13
20,https://resources.premierleague.com/premierleague25/badges/20.svg,Southampton,17,3,3,11,15,32,-17,12
