position,badge_url,name,games_played,games_won,games_drawn,games_lost,goals_for,goals_against,goal_difference,points
1,https://resources.premierleague.com/premierleague25/badges/3.svg,Arsenal,15,11,3,1,33,14,19,36
2,https://resources.premierleague.com/premierleague25/badges/14.svg,Liverpool,15,10,4,1,34,14,20,34
3,https://resources.premierleague.com/premierleague25/badges/7.svg,Aston Villa,15,10,2,3,34,20,14,32
4,https://resources.premierleague.com/premierleague25/badges/43.svg,Manchester City,15,9,3,3,36,17,19,30
5,https://resources.premierleague.com/premierleague25/badges/6.svg,Tottenham Hotspur,15,8,3,4,29,22,7,27
6,https://resources.premierleague.com/premierleague25/badges/1.svg,Manchester United,15,9,0,6,18,18,0,27
7,https://resources.premierleague.com/premierleague25/badges/4.svg,Newcastle United,15,8,2,5,32,17,15,26
8,https://resources.premierleague.com/premierleague25/badges/36.svg,Brighton and Hove Albion,15,7,4,4,32,27,5,25
9,https://resources.premierleague.com/premierleague25/badges/21.svg,West Ham United,15,7,3,5,26,25,1,24
10,https://resources.premierleague.com/premierleague25/badges/8.svg,Chelsea,15,5,4,6,26,24,2,19
11,https://resources.premierleague.com/premierleague25/badges/94.svg,Brentford,15,5,4,6,23,21,2,19
12,https://resources.premierleague.com/premierleague25/badges/54.svg,Fulham,15,5,3,7,21,26,-5,18
13,https://resources.premierleague.com/premierleague25/badges/39.svg,Wolverhampton Wanderers,15,5,3,7,20,25,-5,18
14,https://resources.premierleague.com/premierleague25/badges/31.svg,Crystal Palace,15,4,4,7,14,21,-7,16
15,https://resources.premierleague.com/premierleague25/badges/91.svg,Bournemouth,15,4,4,7,18,30,-12,16
16,https://resources.premierleague.com/premierleague25/badges/17.svg,Nottingham Forest,15,3,4,8,16,27,-11,13
17,https://resources.premierleague.com/premierleague25/badges/11.svg,Everton,15,6,2,7,18,20,-2,10
18,https://resources.premierleague.com/premierleague25/badges/102.svg,Luton Town,15,2,3,10,16,30,-14,9
19,https://resources.premierleague.com/premierleague25/badges/90.svg,Burnley,15,2,1,12,15,33,-18,7
20,https://resources.premierleague.com/premierleague25/badges/49.svg,Sheffield United,15,1,2,12,11,41,-30,5
