position,badge_url,name,games_played,games_won,games_drawn,games_lost,goals_for,goals_against,goal_difference,points
1,https://resources.premierleague.com/premierleague25/badges/43.svg,Manchester City,37,27,7,3,93,33,60,88
2,https://resources.premierleague.com/premierleague25/badges/3.svg,Arsenal,37,27,5,5,89,28,61,86
3,https://resources.premierleague.com/premierleague25/badges/14.svg,Liverpool,37,23,10,4,84,41,43,79
4,https://resources.premierleague.com/premierleague25/badges/7.svg,Aston Villa,37,20,8,9,76,56,20,68
5,https://resources.premierleague.com/premierleague25/badges/6.svg,Tottenham Hotspur,37,19,6,12,71,61,10,63
6,https://resources.premierleague.com/premierleague25/badges/8.svg,Chelsea,37,17,9,11,75,62,13,60
7,https://resources.premierleague.com/premierleague25/badges/4.svg,Newcastle United,37,17,6,14,81,60,21,57
8,https://resources.premierleague.com/premierleague25/badges/1.svg,Manchester United,37,17,6,14,55,58,-3,57
9,https://resources.premierleague.com/premierleague25/badges/21.svg,West Ham United,37,14,10,13,59,71,-12,52
10,https://resources.premierleague.com/premierleague25/badges/36.svg,Brighton and Hove Albion,37,12,12,13,55,60,-5,48
11,https://resources.premierleague.com/premierleague25/badges/91.svg,Bournemouth,37,13,9,15,53,65,-12,48
12,https://resources.premierleague.com/premierleague25/badges/31.svg,Crystal Palace,37,12,10,15,52,58,-6,46
13,https://resources.premierleague.com/premierleague25/badges/39.svg,Wolverhampton Wanderers,37,13,7,17,50,63,-13,46
14,https://resources.premierleague.com/premierleague25/badges/54.svg,Fulham,37,12,8,17,51,59,-8,44
15,https://resources.premierleague.com/premierleague25/badges/11.svg,Everton,37,13,9,15,39,49,-10,40
16,https://resources.premierleague.com/premierleague25/badges/94.svg,Brentford,37,10,9,18,54,61,-7,39
17,https://resources.premierleague.com/premierleague25/badges/17.svg,Nottingham Forest,37,8,9,20,47,66,-19,29
18,https://resources.premierleague.com/premierleague25/badges/102.svg,Luton Town,37,6,8,23,50,81,-31,26
19,https://resources.premierleague.com/premierleague25/badges/90.svg,Burnley,37,5,9,23,40,76,-36,24
20,https://resources.premierleague.com/premierleague25/badges/49.svg,Sheffield United,37,3,7,27,35,101,-66,16
