position,badge_url,name,games_played,games_won,games_drawn,games_lost,goals_for,goals_against,goal_difference,points
1,https://resources.premierleague.com/premierleague25/badges/43.svg,Manchester City,15,11,2,2,32,9,23,35
2,https://resources.premierleague.com/premierleague25/badges/14.svg,Liverpool,15,10,4,1,44,12,32,34
3,https://resources.premierleague.com/premierleague25/badges/8.svg,Chelsea,15,10,3,2,35,9,26,33
4,https://resources.premierleague.com/premierleague25/badges/21.svg,West Ham United,15,8,3,4,28,19,9,27
5,https://resources.premierleague.com/premierleague25/badges/6.svg,Tottenham Hotspur,14,8,1,5,16,17,-1,25
6,https://resources.premierleague.com/premierleague25/badges/1.svg,Manchester United,15,7,3,5,25,24,1,24
7,https://resources.premierleague.com/premierleague25/badges/3.svg,Arsenal,15,7,2,6,18,22,-4,23
8,https://resources.premierleague.com/premierleague25/badges/39.svg,Wolverhampton Wanderers,15,6,3,6,12,13,-1,21
9,https://resources.premierleague.com/premierleague25/badges/36.svg,Brighton and Hove Albion,15,4,8,3,14,16,-2,20
10,https://resources.premierleague.com/premierleague25/badges/7.svg,Aston Villa,15,6,1,8,21,24,-3,19
11,https://resources.premierleague.com/premierleague25/badges/13.svg,Leicester City,15,5,4,6,23,27,-4,19
12,https://resources.premierleague.com/premierleague25/badges/11.svg,Everton,15,5,3,7,19,25,-6,18
13,https://resources.premierleague.com/premierleague25/badges/94.svg,Brentford,15,4,5,6,19,21,-2,17
14,https://resources.premierleague.com/premierleague25/badges/31.svg,Crystal Palace,15,3,7,5,19,21,-2,16
15,https://resources.premierleague.com/premierleague25/badges/2.svg,Leeds United,15,3,7,5,15,22,-7,16
16,https://resources.premierleague.com/premierleague25/badges/20.svg,Southampton,15,3,7,5,14,21,-7,16
17,https://resources.premierleague.com/premierleague25/badges/57.svg,Watford,15,4,1,10,20,29,-9,13
18,https://resources.premierleague.com/premierleague25/badges/90.svg,Burnley,14,1,7,6,14,21,-7,10
19,https://resources.premierleague.com/premierleague25/badges/4.svg,Newcastle United,15,1,7,7,17,30,-13,10
20,https://resources.premierleague.com/premierleague25/badges/45.svg,Norwich City,15,2,4,9,8,31,-23,10
