position,badge_url,name,games_played,games_won,games_drawn,games_lost,goals_for,goals_against,goal_difference,points
1,https://resources.premierleague.com/premierleague25/badges/8.svg,Chelsea,13,9,3,1,31,5,26,30
2,https://resources.premierleague.com/premierleague25/badges/43.svg,Manchester City,13,9,2,2,27,7,20,29
3,https://resources.premierleague.com/premierleague25/badges/14.svg,Liverpool,13,8,4,1,39,11,28,28
4,https://resources.premierleague.com/premierleague25/badges/21.svg,West Ham United,13,7,2,4,24,16,8,23
5,https://resources.premierleague.com/premierleague25/badges/3.svg,Arsenal,13,7,2,4,15,17,-2,23
6,https://resources.premierleague.com/premierleague25/badges/39.svg,Wolverhampton Wanderers,13,6,2,5,12,12,0,20
7,https://resources.premierleague.com/premierleague25/badges/6.svg,Tottenham Hotspur,12,6,1,5,11,17,-6,19
8,https://resources.premierleague.com/premierleague25/badges/1.svg,Manchester United,13,5,3,5,21,22,-1,18
9,https://resources.premierleague.com/premierleague25/badges/36.svg,Brighton and Hove Albion,13,4,6,3,12,14,-2,18
10,https://resources.premierleague.com/premierleague25/badges/13.svg,Leicester City,13,5,3,5,20,23,-3,18
11,https://resources.premierleague.com/premierleague25/badges/31.svg,Crystal Palace,13,3,7,3,19,19,0,16
12,https://resources.premierleague.com/premierleague25/badges/94.svg,Brentford,13,4,4,5,17,17,0,16
13,https://resources.premierleague.com/premierleague25/badges/7.svg,Aston Villa,13,5,1,7,18,21,-3,16
14,https://resources.premierleague.com/premierleague25/badges/11.svg,Everton,13,4,3,6,16,20,-4,15
15,https://resources.premierleague.com/premierleague25/badges/20.svg,Southampton,13,3,5,5,11,18,-7,14
16,https://resources.premierleague.com/premierleague25/badges/57.svg,Watford,13,4,1,8,18,24,-6,13
17,https://resources.premierleague.com/premierleague25/badges/2.svg,Leeds United,13,2,6,5,12,20,-8,12
18,https://resources.premierleague.com/premierleague25/badges/90.svg,Burnley,12,1,6,5,14,20,-6,9
19,https://resources.premierleague.com/premierleague25/badges/45.svg,Norwich City,13,2,3,8,7,27,-20,9
20,https://resources.premierleague.com/premierleague25/badges/4.svg,Newcastle United,13,0,6,7,15,29,-14,6
