position,badge_url,name,games_played,games_won,games_drawn,games_lost,goals_for,goals_against,goal_difference,points
1,https://resources.premierleague.com/premierleague25/badges/43.svg,Manchester City,29,22,4,3,68,18,50,70
2,https://resources.premierleague.com/premierleague25/badges/14.svg,Liverpool,29,21,6,2,75,20,55,69
3,https://resources.premierleague.com/premierleague25/badges/8.svg,Chelsea,28,17,8,3,57,19,38,59
4,https://resources.premierleague.com/premierleague25/badges/3.svg,Arsenal,28,17,3,8,44,31,13,54
5,https://resources.premierleague.com/premierleague25/badges/6.svg,Tottenham Hotspur,29,16,3,10,47,36,11,51
6,https://resources.premierleague.com/premierleague25/badges/1.svg,Manchester United,29,14,8,7,48,40,8,50
7,https://resources.premierleague.com/premierleague25/badges/21.svg,West Ham United,30,14,6,10,49,39,10,48
8,https://resources.premierleague.com/premierleague25/badges/39.svg,Wolverhampton Wanderers,30,14,4,12,31,26,5,46
9,https://resources.premierleague.com/premierleague25/badges/7.svg,Aston Villa,29,11,3,15,41,40,1,36
10,https://resources.premierleague.com/premierleague25/badges/13.svg,Leicester City,27,10,6,11,42,46,-4,36
11,https://resources.premierleague.com/premierleague25/badges/20.svg,Southampton,29,8,11,10,36,45,-9,35
12,https://resources.premierleague.com/premierleague25/badges/31.svg,Crystal Palace,29,7,13,9,39,38,1,34
13,https://resources.premierleague.com/premierleague25/badges/36.svg,Brighton and Hove Albion,29,7,12,10,26,36,-10,33
14,https://resources.premierleague.com/premierleague25/badges/4.svg,Newcastle United,29,7,10,12,32,49,-17,31
15,https://resources.premierleague.com/premierleague25/badges/94.svg,Brentford,30,8,6,16,33,47,-14,30
16,https://resources.premierleague.com/premierleague25/badges/2.svg,Leeds United,30,7,8,15,34,67,-33,29
17,https://resources.premierleague.com/premierleague25/badges/11.svg,Everton,27,7,4,16,29,47,-18,25
18,https://resources.premierleague.com/premierleague25/badges/57.svg,Watford,29,6,4,19,29,55,-26,22
19,https://resources.premierleague.com/premierleague25/badges/90.svg,Burnley,27,3,12,12,22,38,-16,21
20,https://resources.premierleague.com/premierleague25/badges/45.svg,Norwich City,29,4,5,20,18,63,-45,17
